n_cities,variables,run_idx,best_qubo_objective,raw_route_length,two_opt_route_length,raw_ratio_to_reference,two_opt_ratio_to_reference,raw_feasible,onehot_violation,acceptance_rate
24,576,2,904657.2213816172,206.88030992052057,91.2568736453369,2.8752568900511872,1.2683031788481443,False,63,0.15709876543209877
24,576,3,816995.0559988256,216.63258339898587,91.62889784930553,3.0107956057626697,1.2734736329920768,False,59,0.15819753086419752
24,576,4,704729.3823380795,224.37109061780842,95.41511120578582,3.118346663706166,1.3260950547436494,False,53,0.14792592592592593
24,576,5,705000.1860752087,236.94055767363326,79.59494933615278,3.2930392034186995,1.106223818883346,False,53,0.15628395061728395
24,576,6,442680.1614187147,173.56786613806028,79.82560642365111,2.412275016393132,1.1094295293751928,False,45,0.15808641975308643
24,576,7,517714.0340729475,235.57700342758943,95.10304963004765,3.2740883001529304,1.321757971160847,False,43,0.15990123456790123
24,576,8,1141853.9098832817,213.2604423451289,86.80681116341486,2.9639290296102474,1.2064554717501597,False,73,0.15065432098765433
24,576,9,1216307.0492634063,226.1221768566336,84.46280273995391,3.1426835509391275,1.1738780535682005,False,73,0.14771604938271604
24,576,10,1178887.3398067292,281.6341652661904,90.1290390703256,3.9141983810181205,1.252628346700585,False,71,0.15728395061728395
24,576,11,1053431.0562018484,132.2157559635489,95.94423022202014,1.8375565246086891,1.3334488386666787,False,63,0.15928395061728395
24,576,12,1054274.2485146662,311.92825244962125,80.566945897289,4.335230633606268,1.1197327884444737,False,67,0.15932098765432098
24,576,13,966900.8431421019,232.50407681236615,90.31688950293557,3.2313802559391682,1.2552391231967552,False,63,0.15169135802469136
24,576,14,1066627.0122937122,230.47614772086348,100.51538390607868,3.203195760782919,1.3969794913934732,False,63,0.14902469135802468
24,576,15,1165898.8132119428,207.32552892044384,91.0610756499233,2.881444617619861,1.265581945804809,False,67,0.15641975308641975
24,576,16,1141438.6601121873,188.6198927460094,81.89865733648152,2.6214705808737064,1.138241135094618,False,69,0.1545925925925926
24,576,17,991577.3445300056,148.0985860280559,73.85225631753164,2.0582987334444667,1.0264109180056222,False,65,0.15581481481481482
24,576,18,692157.0129414491,162.40630658355357,95.83761817660331,2.257149808850948,1.331967126761544,False,41,0.15501234567901234
24,576,19,642649.4016628801,177.3438754873356,97.30782747237426,2.4647546211586726,1.352400339613491,False,51,0.15761728395061728
24,576,20,667733.8500697368,183.26390069627556,91.72323378457403,2.5470321142551433,1.2747847294804975,False,55,0.15012345679012346
24,576,21,655129.8636709754,206.42151734064265,91.60965553477168,2.8688805146150465,1.2732062001104012,False,51,0.14835802469135803
24,576,22,293250.4971382326,254.57476491651056,89.19713925812212,3.5381223430135336,1.2396766484123098,False,37,0.158
24,576,23,555019.2545207134,198.13501644102953,86.24312844914434,2.753713349527265,1.1986213158141417,False,43,0.1585925925925926
